token_number	error	replacement
897	Pедактор	Редактор
2266	зa	за
4733	являющихcя	являющихся
4860	ХVII	X
4866	ХVIII	X
5830	зa	за
6731	зa	за
8222	VІІ	II
8542	зa	за
9302	оскорбленiи	оскорбленіи
9687	зa	за
10298	преступленiй	преступленій
10705	зa	за
11645	наказан[iями]	наказан[іями]
14222	зa	за
15026	различiе	различіе
16196	зa	за
19634	занятiй	занятій
20499	относящiяся	относящіяся
21023	зa	за
25307	Волконск[iй]	Волконск[ій]
25782	вниманiе	вниманіе
28156	Волконск[iй]	Волконск[ій]
29004	нe	не
31223	зa	за
31358	зa	за
32160	Милосердiя	Милосердія
32228	преступленiя	преступленія
32686	зa	за
35140	l’aVеu	l’аVеu
37804	l’аVеnіr	l’аVеnіr
38273	зa	за
43702	зa	за
46221	зa	за
49514	зa	за
49938	Mнѣ	Мнѣ
50378	зa	за
54592	рѣшилcя	рѣшился
54921	зa	за
54932	зa	за
58039	прекращенiю	прекращенію
58714	Iюня	Іюня
58825	Iюня	Іюня
58906	Iюня	Іюня
58952	Iюня	Іюня
59002	Iюня	Іюня
62999	Iюля	Іюля
63612	хорошiя	хорошія
68918	(нe	(не
70166	осуществленiя	осуществленія
70301	измѣненie	измѣненіе
72622	зa	за
72832	всe	все
75140	экспедицiю	экспедицію
76269	Прiѣхавъ	Пріѣхавъ
76314	полученiя	полученія
76330	P[occiю]	Р[оссію]
76671	непрiятное	непріятное
76901	теперешнiя	теперешнія
77229	Б[арятинскiй]	Б[арятинскій]
78005	Iюня	Іюня
78327	Iюня	Іюня
78413	прiѣхалъ	пріѣхалъ
78696	вcѣ	всѣ
78697	зависѣщiя	зависѣщія
78927	ощущенiи	ощущеніи
78950	Нынѣшнiй	Нынѣшній
79004	И[cтopію]	И[сторію]
79091	Iюня	Іюня
79384	Iюня	Іюня
79830	Iюня	Іюня
79907	Iюля	Іюля
79986	Iюля	Іюля
80107	Iюля	Іюля
80181	Iюля	Іюля
80269	Iюля	Іюля
80330	Iюля	Іюля
80400	Iюля	Іюля
80485	Iюля	Іюля
80783	Iюля	Іюля
80934	отношенiяхъ	отношеніяхъ
81737	Iюля	Іюля
81796	Iюля	Іюля
81892	Iюля	Іюля
82127	Iюля	Іюля
82208	Iюля	Іюля
82248	Iюля	Іюля
82325	Iюля	Іюля
82738	воспоминанiя	воспоминанія
82743	Бар[ятинскiй]	Бар[ятинскій]
83515	удовольствie	удовольствіе
84350	Mнѣ	Мнѣ
84407	увлеченiемъ	увлеченіемъ
85404	Георг[iевскую]	Георг[іевскую]
85690	зa	за
87172	зa	за
88208	Занятiя	Занятія
88415	Занятiя	Занятія
88841	возобновляющiеся	возобновляющіеся
90135	нападенiе	нападеніе
91601	зa	за
91949	зa	за
92141	самоубiйства	самоубійства
93209	исправлявшiй	исправлявшій
93219	открывшiеся	открывшіеся
96442	нe	не
97686	составленiи	составленіи
97722	присутствiе	присутствіе
97800	Занятiя	Занятія
97833	Примѣчанiе	Примѣчаніе
98288	удовлетворяющiй	удовлетворяющій
100675	зa	за
100754	Вліянie	Вліяніе
101235	Истоpiю	Исторію
111231	описанiе	описаніе
111766	зa	за
114791	педрастiи	педрастіи
115308	приобрѣcти	приобрѣсти
115615	воспитанiю	воспитанію
118628	Ру[cская	Ру[сская
119687	Энциклопед[iя]	Энциклопед[ія]
119878	Приготовлен[iя]	Приготовлен[ія]
123865	Энциклопедiя	Энциклопедія
129551	Институцiи	Институціи
131533	Итальянск[iй]	Итальянск[ій]
134699	РАЗВИТIЯ	РАЗВИТІЯ
135056	Введенiе	Введеніе
135120	религiозныя	религіозныя
135150	религiозныхъ	религіозныхъ
135232	образованiи	образованіи
135321	самосознанiя	самосознанія
135995	&lt;преобладанiи&gt;	&lt;преобладаніи&gt;
136848	преобладанiя	преобладанія
138069	происходящiя	происходящія
146692	можнo	можно
148412	принадлежащiй	принадлежащій
148848	Haчиная	Начиная
149205	Iерусалимъ	Іерусалимъ
150295	cебѣ	себѣ
171086	VІІІ	III
173020	зa	за
173929	immotае	іmmоtае
176937	зa	за
187992	зa	за
188490	Стp	Стр
189896	зa	за
190927	зa	за
192843	зa	за
195000	зa	за
201218	зa	за
209498	erо	еrо
212784	уаrа	уаrа
212851	уarа	уаrа
212852	ārа	ārа
212853	nаха	nаха
212858	nаха	nаха
213069	Осu	Осu
213075	осu	осu
213308	nānа	nānа
213477	nānа	nānа
213567	nānа	nānа
215801	Стp	Стр
216488	paзa	раза
219775	зa	за
219891	ХІV-ой	ХІV-ой
219893	ІV-ой	ІV-ой
219896	ХVІ-ой)	ХVІ-ой)
221815	ХVІІ-ой	ХVІІ-ой
221816	(ІV-ой	(ІV-ой
222098	ХІV-ая	ХІV-ая
222100	ІV-ой	ІV-ой
222102	ХVІ-ая)	ХVІ-ая)
226422	paз	раз
228076	СІV	CI
228078	СХVІІІ)	СХVІІІ)
231512	paзrape»	разrаре»
232963	зa	за
235361	Стp	Стр
237824	Cтp	Стр
240829	Стp	Стр
250396	зaпись	запись
250744	зa	за
254608	(«Теn	(«Теn
255822	еca	еса
261190	рeдакции	редакции
262517	(Веnjamen	(Веnjаmеn
262587	Стp	Стр
262809	зa	за
263023	Стp	Стр
263225	Стp	Стр
263478	Стp	Стр
263703	зa	за
265480	еe	ее
266380	пpим	прим
266596	зa	за
269039	(Наrrіette	(Наrrіеttе
269871	зa	за
269989	зa	за
270574	зa	за
271090	Kapганову	Карганову
271572	Cyук-cу	Суук-су
271587	Cyxум-кале	Сухум-кале
273399	ХVIII	X
273440	Терcка	Терска
273653	муjун	муjун
273655	муjунса	муjунса
274884	Стp	Стр
275725	зaписках»	записках»
278034	зa	за
279484	зa	за
285820	ХХVII	XX
288117	Стp	Стр
292509	рaз	раз
292677	зa	за
298621	(вocn	(восn
300876	ХII	X
301874	ХII	X
302358	Ceрг	Серг
302982	VІІІ)	VІІІ)
303393	зa	за
304574	зa	за
304769	VІII	I
304775	XІІ	II
304806	VІІІ	III
304849	ІV	I
305233	«Гоpe	«Горе
305234	oт	от
307450	зa	за
308003	IIІ	I
308311	VІ	I
308526	ІV	I
309350	зa	за
309531	Гp	Гр
309632	IХ	X
309660	зa	за
310161	IІ	I
310248	Aннa	Анна
310680	ХII	X
310914	ІV	I
310929	VІ	I
311055	VІІ	II
311234	VІІ	II
312561	VIIІ	I
313142	нe	не
313431	ІV	I
313562	ІV	I
313699	VІІ	II
315848	ХI	X
315879	VІІ	II
316014	IХ	X
316336	VІІ	II
316682	Cв	Св
316695	VІІ	II
316739	VІІ	II
316832	VІІІ	III
317134	зa	за
317277	ІV	I
317280	зa	за
317388	IХ	X
317483	ХI	X
317586	ІV	I
317655	VІІІ	III
317763	VІІ	II
317800	VІІІ	III
317900	VІ	I
317989	VІ	I
318328	ІV	I
318356	IХ	X
318566	VІІ	II
318599	ХII	X
319917	VІ	I
320502	IІІ	II
320780	VІI	I
321174	ІV	I
321345	ІV	I
321383	VІІІ	III
321565	VІІ	II
343165	зa	за
355502	Meндельсон	Мендельсон
355912	руcской	русской
356821	Moдестовна	Модестовна
366750	Рудановcкий	Рудановский
381372	ХV	X
390234	Васh»	Васh»
392570	Lоbоff	Lоbоff
395133	производcтво	производство
399924	преступленiй	преступленій
403808	Myз	Муз
408436	косыe	косые
412402	зa	за
419954	слабоc	слабос
422838	3aчеркнутo:	3ачеркнуто:
432275	отступленiй	отступленій
434736	РАЗВИТIЯ	РАЗВИТІЯ
435198	преобладанiе	преобладаніе
438035	зa	за
442301	ХII	X
